coherence_score,factorization_time,data,params,iteration
0.30096464267486084,1419.495690216,both,"{'limit_to_nouns': True, 'max_df': 0.9627778900415906, 'min_df': 0.012762053634944169, 'model__alpha': 0.8627416131403061, 'model__l1_ratio': 0.695931362347764, 'model__n_components': 60, 'ngram_range': (1, 2), 'vectorizer_type': 'TFIDF'}",1
0,1325.9473482629999,body,"{'limit_to_nouns': True, 'max_df': 0.9665647452994215, 'min_df': 0.03680591793075738, 'model__alpha': 0.30446331103650615, 'model__l1_ratio': 0.45417021765935595, 'model__n_components': 35, 'ngram_range': (1, 2), 'vectorizer_type': 'BOW'}",2
0.7043399181274226,1404.29044539,body,"{'limit_to_nouns': True, 'max_df': 0.9740353724215102, 'min_df': 0.0355099637220532, 'model__alpha': 0.3450896750264505, 'model__l1_ratio': 0.8641279154649505, 'model__n_components': 10, 'ngram_range': (1, 3), 'vectorizer_type': 'BOW'}",3
0.527067369762533,187.37965429300039,both,"{'limit_to_nouns': False, 'max_df': 0.9553958306276664, 'min_df': 0.010837425718704701, 'model__alpha': 0.6366851236786881, 'model__l1_ratio': 0.45366534380629886, 'model__n_components': 60, 'ngram_range': (1, 2), 'vectorizer_type': 'BOW'}",4
0.7112755236994431,268.65267068999947,both,"{'limit_to_nouns': False, 'max_df': 0.9892287086852684, 'min_df': 0.029138355433358867, 'model__alpha': 0.4895873349592129, 'model__l1_ratio': 0.5230523280543835, 'model__n_components': 40, 'ngram_range': (1, 3), 'vectorizer_type': 'TFIDF'}",5
0,25.924022688999685,title,"{'limit_to_nouns': False, 'max_df': 0.9798440047251323, 'min_df': 0.018071565188950367, 'model__alpha': 0.013897876621619343, 'model__l1_ratio': 0.9038520725066864, 'model__n_components': 15, 'ngram_range': (1, 3), 'vectorizer_type': 'TFIDF'}",6
0,12.849912236999444,title,"{'limit_to_nouns': False, 'max_df': 0.9723397257329532, 'min_df': 0.04205425417078295, 'model__alpha': 0.3856249789503601, 'model__l1_ratio': 0.3725797779832578, 'model__n_components': 20, 'ngram_range': (1, 1), 'vectorizer_type': 'BOW'}",7
0,1524.9390123169997,both,"{'limit_to_nouns': True, 'max_df': 0.9737047870122226, 'min_df': 0.0449730118133783, 'model__alpha': 0.42208258595069725, 'model__l1_ratio': 0.13263573235852644, 'model__n_components': 80, 'ngram_range': (1, 3), 'vectorizer_type': 'BOW'}",8
0.422994529473134,1444.6268156449996,both,"{'limit_to_nouns': True, 'max_df': 0.9893760299198795, 'min_df': 0.014458165018697589, 'model__alpha': 0.6168279392330184, 'model__l1_ratio': 0.3240599822843736, 'model__n_components': 70, 'ngram_range': (1, 1), 'vectorizer_type': 'BOW'}",9
0,1474.4488593459992,both,"{'limit_to_nouns': True, 'max_df': 0.9678060494112435, 'min_df': 0.029406302533045985, 'model__alpha': 0.30468193441674896, 'model__l1_ratio': 0.38106476479749274, 'model__n_components': 95, 'ngram_range': (1, 2), 'vectorizer_type': 'BOW'}",10
0.6212255652974094,1363.234771724001,body,"{'limit_to_nouns': True, 'max_df': 0.9801872567100984, 'min_df': 0.015178561729575019, 'model__alpha': 0.3128393062346281, 'model__l1_ratio': 0.5786643362283848, 'model__n_components': 55, 'ngram_range': (1, 3), 'vectorizer_type': 'TFIDF'}",11
0,131.3209170350001,body,"{'limit_to_nouns': False, 'max_df': 0.9664194242248544, 'min_df': 0.03632838204877368, 'model__alpha': 0.14403060227778175, 'model__l1_ratio': 0.7193764256573532, 'model__n_components': 60, 'ngram_range': (1, 1), 'vectorizer_type': 'BOW'}",12
